PhotoID,FType,Dominant_mean,Dominant_sd,Dominant_nu,Trust_mean,Trust_sd,Trust_nu,Smart_mean,Smart_sd,Smart_nu,Warm_mean,Warm_sd,Warm_nu,Attract_mean,Attract_sd,Attract_nu,Express_mean,Express_sd,Express_nu,Smile_mean,Smile_sd,Smile_nu,Amb_mean,Amb_sd,Amb_nu,Fem_mean,Fem_sd,Fem_nu,Male_count,Female_count,Gendother_count,Prop_female,Prop_male,Prop_gendother,Gender_nu,Gender_cat,RaceProt_As,RaceProt_Bl,RaceProt_Lat,RaceProt_Mid,RaceProt_Mult,RaceProt_Wh,RaceProt_As_sd,RaceProt_Bl_sd,RaceProt_Lat_sd,RaceProt_Mid_sd,RaceProt_Mult_sd,RaceProt_Wh_sd,RaceProt_As_nu,RaceProt_Bl_nu,RaceProt_Lat_nu,RaceProt_Mid_nu,RaceProt_Mult_nu,RaceProt_Wh_nu,Race_cat,Race_nu,Race_ca,Race_cb,Race_cl,Race_cmid,Race_cm,Race_cw,Race_co,Prop_As,Prop_Bl,Prop_Lat,Prop_Mid,Prop_Mult,Prop_Wh,Prop_Other
1001,0,3.27,1.58,51,3.84,1.05,51,3.75,1.29,51,4.02,1.44,51,3.27,1.28,51,4.24,1.09,51,3.57,1.92,51,4.24,1.57,51,4.02,1.19,51,2,49,0,0.96,0.04,0,51,1,3.08,1.9,5.63,2.75,4.29,2.86,1.78,1.02,1.18,1.59,1.81,1.77,51,51,51,51,51,51,3,51,3,0,29,3,7,3,6,0.06,0,0.57,0.06,0.14,0.06,0.12
1002,0,2.75,1.43,40,4,1.2,40,4.43,1.13,40,3.55,1.3,40,4.05,1.28,40,3.8,1.2,40,2.75,2.26,40,3.92,1.31,39,5.18,1.07,39,0,39,0,1,0,0,39,1,2.26,1.95,4.23,5.41,4.59,3.85,1.35,1.19,1.61,1.23,1.6,1.65,39,39,39,39,39,39,4,39,2,0,6,21,6,4,0,0.05,0,0.15,0.54,0.15,0.1,0
1003,0,3.28,1.86,43,4.19,1.14,43,4.47,1.01,43,3.86,1.49,43,5.07,1.18,43,4.19,0.98,43,2.16,2.16,43,4.28,1.26,43,5.67,1.04,43,0,43,0,1,0,0,43,1,3.21,3.09,5.16,3.19,4.77,3.35,1.75,1.66,1.19,1.61,1.65,1.57,42,43,43,43,43,43,3,43,6,1,20,1,15,0,0,0.14,0.02,0.47,0.02,0.35,0,0
1004,0,2.96,1.43,52,4.9,1.11,52,4.63,1.12,52,5.29,1.09,52,4.29,1.32,52,5.44,0.87,52,5.15,1.8,52,2.88,1.65,52,5.27,1.14,52,2,50,0,0.96,0.04,0,52,1,2.04,6.29,3.23,2.46,4.13,2.35,1.51,0.89,1.78,1.46,1.69,1.52,52,52,52,52,52,52,2,52,2,48,0,0,2,0,0,0.04,0.92,0,0,0.04,0,0
1005,0,2.88,1.53,51,4.39,1.11,51,4.8,1,51,4.04,1.3,51,5.24,0.84,51,4.31,0.95,51,2.94,2.1,51,4.04,1.46,51,5.78,0.78,51,0,51,0,1,0,0,51,1,5.24,1.67,4.47,3.02,4.92,2.92,1.66,1.01,1.85,1.66,1.62,1.57,51,51,51,51,51,51,1,51,29,0,15,0,7,0,0,0.57,0,0.29,0,0.14,0,0
1006,0,3.52,1.36,64,4.16,1.03,64,4.5,1.1,64,3.34,1.17,64,3.42,1.23,64,3.61,0.99,64,2.31,2.08,64,3.97,1.46,64,4.77,1.07,64,0,64,0,1,0,0,64,1,2.31,2.3,4.42,4.44,4.56,4.59,1.33,1.33,1.59,1.7,1.55,1.58,64,64,64,64,64,64,7,64,0,1,13,20,9,21,0,0,0.02,0.2,0.31,0.14,0.33,0
1007,0,3.12,1.48,50,3.58,1.42,50,3.72,1.4,50,2.96,1.47,50,3.46,1.43,50,3.2,0.99,50,1.48,1.78,50,3.72,1.37,50,2.74,1.03,50,50,0,0,0,1,0,50,2,2.66,2.04,5.56,3.7,4.44,3.78,1.56,1.12,1.18,1.47,1.53,1.68,50,50,50,50,50,50,3,50,1,0,33,2,11,3,0,0.02,0,0.66,0.04,0.22,0.06,0
1008,0,2.05,1.19,42,4.45,1.23,42,4.36,1.32,42,4.5,1.66,42,4.95,1.1,42,4.67,0.85,42,3.5,2.23,42,4.36,1.1,42,5.67,0.85,42,0,42,0,1,0,0,42,1,4.24,1.93,4.88,3.21,4.62,3.02,1.97,1.26,1.71,1.52,1.71,1.65,42,42,42,42,42,42,3,42,12,0,19,2,7,1,1,0.29,0,0.45,0.05,0.17,0.02,0.02
1009,0,2.94,1.3,52,4.62,1.21,52,4.92,1.03,52,4.96,1.2,52,4.9,1.05,52,5.1,0.87,52,4.37,1.87,52,4.04,1.45,52,5.69,0.94,52,1,51,0,0.98,0.02,0,52,1,2.67,2.13,4.75,3.71,4.71,5.19,1.44,1.36,1.22,1.74,1.73,1.46,52,52,52,52,52,52,7,52,1,0,7,6,18,20,0,0.02,0,0.13,0.12,0.35,0.38,0
1010,0,2.98,1.65,52,3.69,1.54,52,4.62,1.46,52,2.73,1.5,52,3.71,1.23,52,3.06,1.19,52,1.54,2.01,52,4.04,1.36,51,2.65,0.98,51,50,0,1,0,0.98,0.02,51,2,2.39,5.51,4.18,3.35,5.1,2.78,1.64,1.29,1.63,1.75,1.6,1.59,51,51,51,51,51,51,2,51,1,30,3,4,13,0,0,0.02,0.59,0.06,0.08,0.25,0,0
