"Stimulus","Participant","Age","Sex","Sexual_Orientation","Religion","Religion_Spirituality","Religion_Activity","Education","Nationality","Ethnicity","Date","Time","Duration_Questionnaires","Duration_Task","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Block1_Trial","RT","Goodlooking","Attractive","Trustworthy","Familiar","Block2_Trial","Real_RT","Real","Belief_Answer","Belief","Belief_Confidence","Delay","Stimulus_Sex","Stimulus_SameSex","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","Social_Anxiety","Social_Phobia","AI_1_RealisticImages","AI_2_Unethical","AI_3_VideosReal","AI_4_DailyLife","AI_5_ImitatingReality","AI_6_Dangerous","AI_7_RealisticVideos","AI_8_Exciting","AI_9_Applications","AI_10_FaceErrors","FFNI_AcclaimSeeking","FFNI_Arrogance","FFNI_Authoritativeness","FFNI_Distrust","FFNI_Entitlement","FFNI_Exhibitionism","FFNI_Exploitativeness","FFNI_GrandioseFantasies","FFNI_Indifference","FFNI_LackOfEmpathy","FFNI_Manipulativeness","FFNI_NeedForAdmiration","FFNI_ReactiveAnger","FFNI_Shame","FFNI_ThrillSeeking","SelfAttractiveness1","SelfAttractiveness2","GPTS_Reference","GPTS_Persecution","IUS_ProspectiveAnxiety","IUS_InhibitoryAnxiety","Attention_Check1","Attention_Check2","Attention_Check3","Norms_Dominant","Norms_Trustworthy","Norms_Smart","Norms_Warm","Norms_Attractive"
"NF-1001.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",32,7028.09999996424,0.310038,0.25005,0.589982,0.10008,62,2437.80000001192,0.79994,0.6,"Real",0.59998,20.6958,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,3.27,3.84,3.75,4.02,3.27
"NF-1002.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",33,6678.69999998808,0.729954,0.59998,0.739952,0.30004,29,2399.60000002384,0.190062,-0.62,"Fake",0.619976,18.7396666666667,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.75,4,4.43,3.55,4.05
"NF-1003.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",17,6963.89999997616,0.529994,0.40002,0.30004,1e-04,24,4178.10000002384,0.709958,0.42,"Real",0.420016,20.5809833333333,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,3.28,4.19,4.47,3.86,5.07
"NF-1004.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",100,12560.9000000358,0.89992,0.739952,0.679964,0.629974,88,1790.40000003576,0.320036,-0.36,"Fake",0.360028,9.86351666666667,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.96,4.9,4.63,5.29,4.29
"NF-1005.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",4,8229.5,0.559988,0.30004,0.420016,0.080084,99,1406.90000003576,0.15007,-0.7,"Fake",0.69996,26.6628833333333,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.88,4.39,4.8,4.04,5.24
"NF-1006.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",103,15640.1000000238,0.719956,0.160068,0.689962,0.030094,71,1836.5,0.919916,0.84,"Real",0.839932,8.24298333333333,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,3.52,4.16,4.5,3.34,3.42
"NF-1008.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",80,21668.4000000358,0.609978,0.679964,0.529994,0.280044,59,1550.5,0.25005,-0.5,"Fake",0.5,13.1989833333333,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.05,4.45,4.36,4.5,4.95
"NF-1009.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",3,14676.4000000358,0.69996,0.769946,0.619976,0.15007,90,2419.5,0.9999,1,"Real",0.9999,26.4776666666667,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.94,4.62,4.92,4.96,4.9
"NF-1012.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",70,7452.19999998808,0.45001,0.559988,0.679964,0.15007,78,1663.09999996424,0.220056,-0.56,"Fake",0.559988,16.42175,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,2.98,4.22,4.36,4.24,4.31
"NF-1013.jpg","5b8646582c180900019c9eb7_xt3l6",25,"Female","Heterosexual","Christianity",0.76,0.74,"Master","Poland","Caucasian","08/09/2022","09:41:32",20.165249999999,21.4185883333335,"2560x1440",3.6864,145.95,"chrome","104.0.5112","Desktop","Windows 10",64,7867.59999996424,0.709958,0.739952,0.559988,1e-04,89,1530.10000002384,0.74995,0.5,"Real",0.5,17.7413833333333,"Female","Same",0.495,0.6875,0.5075,0.64,0.7425,0.5275,0.196666666666667,0.418333333333333,0.69,0.55,0.39,0.76,0.61,0.6,0.61,0.63,0.67,0.38,0.695,0.765,0.655,0.6,0.27,0.355,0.12,0.555,0.635,0.45,0.32,0.29,0.45,0.615,0.465,0.62,0.66,0.34,0.378,0.564285714285714,0.458,0.96,1,1,3.58,3.92,4.72,2.92,4.6
