trial_type,trial_index,time_elapsed,internal_node_id,screen_height,screen_width,browser,browser_version,mobile,os,vsync_rate,participant_id,study_id,session_id,success,timeout,failed_images,failed_audio,failed_video,width,height,webaudio,fullscreen,webcam,microphone,screen,version,date,time,rt,stimulus,response,question_order,trial_duration,trial_number
pavlovia,0,2701,0.0-0.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,,,,,,,,,,
fullscreen,1,8040,0.0-1.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,TRUE,,,,,,,,,,,,,,,,,,,,
preload,2,8254,0.0-2.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,TRUE,FALSE,[],[],[],,,,,,,,,,,,,,,,
browser-check,3,8616,0.0-3.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,1920,1080,TRUE,TRUE,FALSE,TRUE,browser_info,1,24/08/2022,8:44:38,,,,,,
html-button-response,4,13075,0.0-4.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,instructions1,,,,4458,"<h1>Part 1/3</h1><p>Welcome to our study! Before starting the face perception task, it is important for us to understand our participants characteristics, so that our conclusions are scientifically valid.</p><p>Let's start with some questions about yourself.</p>",0,,,
survey-text,5,24073,0.0-5.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,demographics,,,,10995,,"{""age"":""22"",""nationality"":""Poland"",""ethnicity"":""Caucasian""}",,,
survey-multi-choice,6,28812,0.0-6.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,demographics,,,,4737,,"{""sex"":""Male"",""education"":""High school""}","[0,1]",,
survey-multi-choice,7,31248,0.0-7.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,demographics,,,,2434,,"{""sexual_orientation"":""Heterosexual""}",[0],,
survey-text,8,33561,0.0-8.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,demographics,,,,2310,,"{""sexual_orientation_other"":""""}",,,
survey-multi-choice,9,37789,0.0-9.0,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,demographics,,,,4227,,"{""religion"":""Christianity""}",[0],,
