"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"pavlovia","0","10869","0.0-0.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","18229","0.0-1.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","true","","","","","","","","","","","","","","","","","","","",""
"preload","2","18915","0.0-2.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"browser-check","3","19919","0.0-3.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","1366","768","true","true","true","true","browser_info","1.0","24/08/2022","20:04:35","","","","","",""
"html-button-response","4","33991","0.0-4.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","instructions1","","","","14060","<h1>Part 1/3</h1><p>Welcome to our study! Before starting the face perception task, it is important for us to understand our participants characteristics, so that our conclusions are scientifically valid.</p><p>Let's start with some questions about yourself.</p>","0","","",""
"survey-text","5","59339","0.0-5.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","demographics","","","","25288","","{""age"":""24"",""nationality"":""Mexico"",""ethnicity"":""Latin""}","","",""
"survey-multi-choice","6","76865","0.0-6.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","demographics","","","","17504","","{""sex"":""Male"",""education"":""University (bachelor)""}","[0,1]","",""
"survey-multi-choice","7","83270","0.0-7.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","demographics","","","","6358","","{""sexual_orientation"":""Heterosexual""}","[0]","",""
"survey-text","8","89743","0.0-8.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","demographics","","","","6433","","{""sexual_orientation_other"":""""}","","",""
"survey-multi-choice","9","104440","0.0-9.0","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","demographics","","","","14683","","{""religion"":""Other""}","[0]","",""
